,Government_Bonds,IG_Bonds,Equities,High_Yield_Bonds,Emerging_Markets
2026-01-01,0.35,0.2,0.3,0.1,0.05
2026-01-02,0.34763642522421695,0.20225932424080348,0.300964907237516,0.09909044312715544,0.05004890017030824
2026-01-03,0.34761888738754954,0.20224442355317618,0.30308201794678,0.09764244286251808,0.04941222824997609
2026-01-04,0.34727397183483333,0.20112849341956224,0.30544974719504703,0.09720647026820126,0.04894131728235616
2026-01-05,0.3512423191992577,0.20003637422526238,0.3046840385124612,0.09551710332879167,0.04852016473422705
2026-01-06,0.35215411165351396,0.1980281150249142,0.3062827351062996,0.0950845207734546,0.048450517441817574
2026-01-07,0.34972071743973504,0.2015139729501767,0.3059659165356014,0.09399437137290191,0.048805021701584864
2026-01-08,0.349292399971942,0.20417967638970355,0.3033059567458722,0.09377725550063172,0.049444711391850485
2026-01-09,0.35132154106233604,0.20420995624478724,0.3024819325965379,0.09334887211530671,0.048637697981032055
2026-01-10,0.34907534511238614,0.20343397303360702,0.3059262722572613,0.0937453753039779,0.047819034292767654
2026-01-11,0.3504364460010788,0.20278385077590227,0.3040553890037018,0.09438063123391657,0.048343682985400566
2026-01-12,0.3532028932352874,0.20080015833294193,0.3026899535487482,0.09456030777620966,0.04874668710681284
2026-01-13,0.35368517897646756,0.20166725002500382,0.3011935521174193,0.09400734063076532,0.049446678250343996
2026-01-14,0.3557440832131486,0.1999834632744371,0.3018928777636255,0.09362690805908064,0.048752667689708165
2026-01-15,0.3554512129739743,0.20216104170926355,0.30045069701659666,0.09467118834770555,0.04726585995245991
2026-01-16,0.3578902892036933,0.20206495622979828,0.29914978309853796,0.09463064754400367,0.046264323923966726
2026-01-17,0.35586182493825624,0.20208087683627776,0.3025138351095014,0.09381277021511464,0.04573069290084984
2026-01-18,0.3537948625081824,0.20376808127462123,0.30326663616914634,0.09324163042840632,0.0459287896196437
2026-01-19,0.3542436000855344,0.20580268094240245,0.3012275531764696,0.09296382112416339,0.04576234467143013
2026-01-20,0.3504235286745979,0.20721815129602106,0.3031933202423635,0.09333167465039453,0.045833325136622985
2026-01-21,0.3481425349346517,0.20794613058401973,0.304496535327354,0.09330068609420035,0.046114113059774337
2026-01-22,0.347441602881525,0.21059031188449262,0.3031890917408007,0.09297700461541673,0.0458019888777649
2026-01-23,0.34226065024279184,0.21145151513629998,0.30469306647264266,0.09568175018015931,0.04591301796810622
2026-01-24,0.34369232562344876,0.21162430554024897,0.30148360165648275,0.09688771008912596,0.04631205709069363
2026-01-25,0.345052302184093,0.20887801919279914,0.30451332454360713,0.09515521006407941,0.046401144015421454
2026-01-26,0.35133533601619676,0.20606239609546,0.3016955008895978,0.09490595837361254,0.04600080862513287
2026-01-27,0.3488478289079548,0.20796793531764604,0.3010451195628957,0.09617119920798672,0.045967917003516684
2026-01-28,0.3531854832482237,0.2057171726644575,0.2991709479376545,0.09666106951341724,0.045265326636247084
2026-01-29,0.35435027137523806,0.20861853484537526,0.29466347322173736,0.09693842276215846,0.04542929779549082
2026-01-30,0.3582160811569763,0.2066708577573248,0.2916657074498837,0.09774333201378885,0.045704021622026324
2026-01-31,0.3091164845294412,0.20738861460022195,0.3396853486655419,0.09797119316104329,0.045838359043751796
2026-02-01,0.3559074044576575,0.21087553226005099,0.290531797874104,0.09662938036856562,0.046055885039621824
2026-02-02,0.3520141391539562,0.21227868031288039,0.29354281240369456,0.09572095260589446,0.04644341552357439
2026-02-03,0.3505991975280346,0.2122870051256228,0.2966829042523807,0.09471142713301912,0.045719465960942715
2026-02-04,0.34909705624398446,0.21153462252767818,0.2978327810147169,0.09547640406565555,0.04605913614796487
2026-02-05,0.3491065255021371,0.20983250687634852,0.29969071674198605,0.09444527344433318,0.04692497743519504
2026-02-06,0.35216102001684535,0.20854989176421512,0.29721683437485585,0.09513606990413118,0.04693618393995238
2026-02-07,0.35404901235579544,0.20916683720937754,0.29647626655049253,0.09416414846089831,0.046143735423436104
